error  * no darle pelota
341K available
Compiling PEGASSUS.PRG
PEGASSUS.PRG(73)   Warning C1004  Ambiguous reference, assuming memvar: 'ADOCUM'
PEGASSUS.PRG(74)   Warning C1004  Ambiguous reference, assuming memvar: 'ADOCUM'
PEGASSUS.PRG(75)   Warning C1004  Ambiguous reference, assuming memvar: 'ADOCUM'
PEGASSUS.PRG(76)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(77)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(78)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(78)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(78)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(78)   Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(79)   Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(79)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(79)   Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(81)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(82)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(83)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(84)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(85)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(86)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(87)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(88)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(89)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(90)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(91)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(92)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(93)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(94)   Warning C1004  Ambiguous reference, assuming memvar: 'RESPIVA'
PEGASSUS.PRG(96)   Warning C1004  Ambiguous reference, assuming memvar: 'ALISTAS'
PEGASSUS.PRG(97)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(98)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(98)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(98)   Warning C1004  Ambiguous reference, assuming memvar: 'Y'
PEGASSUS.PRG(98)   Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(99)   Warning C1003  Ambiguous reference: 'NUMERO'
PEGASSUS.PRG(99)   Warning C1004  Ambiguous reference, assuming memvar: 'ALISTAS'
PEGASSUS.PRG(99)   Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(100)  Warning C1003  Ambiguous reference: 'NOMBRE'
PEGASSUS.PRG(100)  Warning C1004  Ambiguous reference, assuming memvar: 'ALISTAS'
PEGASSUS.PRG(100)  Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(101)  Warning C1003  Ambiguous reference: 'FORMCALC'
PEGASSUS.PRG(101)  Warning C1004  Ambiguous reference, assuming memvar: 'ALISTAS'
PEGASSUS.PRG(101)  Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(102)  Warning C1003  Ambiguous reference: 'HABILIT'
PEGASSUS.PRG(102)  Warning C1004  Ambiguous reference, assuming memvar: 'ALISTAS'
PEGASSUS.PRG(102)  Warning C1003  Ambiguous reference: 'Y'
PEGASSUS.PRG(105)  Warning C1004  Ambiguous reference, assuming memvar: 'ICOLORA'
PEGASSUS.PRG(106)  Warning C1004  Ambiguous reference, assuming memvar: 'ICOLORB'
